Municipality,Population
Grimsby,25325
Lincoln,22487
Niagara Falls,82997
Fort Erie,29960
Niagara-on-the-Lake,15400
Pelham,16598
Port Colborne,18424
St. Catharines,131400
Thorold,17931
Wainfleet,6356
Welland,50631
