Municipality,Population
Grimsby,23937
Lincoln,21722
Niagara Falls,82184
Fort Erie,29925
Niagara-on-the-Lake,14587
Pelham,16155
Port Colborne,18599
St. Catharines,131989
Thorold,18224
Wainfleet,6601
Welland,50331
